試行回数,実験値,理論値
10,2.6,2.5
20,2.5,2.5
30,2.433,2.5
40,2.8,2.5
50,2.78,2.5
60,2.733,2.5
70,2.743,2.5
80,2.7,2.5
90,2.656,2.5
100,2.61,2.5
110,2.527,2.5
120,2.467,2.5
130,2.492,2.5
140,2.479,2.5
150,2.46,2.5
160,2.481,2.5
170,2.482,2.5
180,2.472,2.5
190,2.463,2.5
200,2.485,2.5
210,2.471,2.5
220,2.473,2.5
230,2.457,2.5
240,2.429,2.5
250,2.444,2.5
260,2.419,2.5
270,2.411,2.5
280,2.425,2.5
290,2.459,2.5
300,2.43,2.5
310,2.435,2.5
320,2.444,2.5
330,2.433,2.5
340,2.421,2.5
350,2.434,2.5
360,2.433,2.5
370,2.449,2.5
380,2.439,2.5
390,2.421,2.5
400,2.398,2.5
410,2.415,2.5
420,2.426,2.5
430,2.451,2.5
440,2.445,2.5
450,2.44,2.5
460,2.426,2.5
470,2.434,2.5
480,2.46,2.5
490,2.459,2.5
500,2.462,2.5
